id,zip,lat,lng,population,timezone,city,state,type
1,00601,18.266762,-66.84855,16721,America/Puerto_Rico,Mayagüez,PR,zona urbana
2,00602,18.266762,-66.84855,37510,America/Puerto_Rico,Mayagüez,PR,comunidad
3,00603,18.266762,-66.84855,48317,America/Puerto_Rico,Mayagüez,PR,zona urbana
4,00606,18.266762,-66.84855,5435,America/Puerto_Rico,Mayagüez,PR,zona urbana
5,00610,18.266762,-66.84855,25413,America/Puerto_Rico,Mayagüez,PR,comunidad
6,00611,18.266762,-66.84855,1522,America/Puerto_Rico,Mayagüez,,
7,00612,18.266762,-66.84855,62462,America/Puerto_Rico,Mayagüez,PR,zona urbana
8,00616,18.266762,-66.84855,9836,America/Puerto_Rico,Mayagüez,PR,comunidad
9,00617,18.266762,-66.84855,22699,America/Puerto_Rico,Mayagüez,PR,zona urbana
10,00622,18.266762,-66.84855,7950,America/Puerto_Rico,Mayagüez,PR,comunidad
11,00623,18.266762,-66.84855,39005,America/Puerto_Rico,Mayagüez,PR,zona urbana
12,00624,18.266762,-66.84855,21374,America/Puerto_Rico,Mayagüez,PR,comunidad
13,00627,18.266762,-66.84855,32753,America/Puerto_Rico,Mayagüez,PR,comunidad
14,00631,18.266762,-66.84855,1357,America/Puerto_Rico,Mayagüez,,
15,00636,18.266762,-66.84855,1071,America/Puerto_Rico,Mayagüez,,
16,00637,18.266762,-66.84855,22884,America/Puerto_Rico,Mayagüez,PR,zona urbana
17,00638,18.266762,-66.84855,17410,America/Puerto_Rico,Mayagüez,PR,comunidad
18,00641,18.266762,-66.84855,23962,America/Puerto_Rico,Mayagüez,PR,zona urbana
19,00646,18.266762,-66.84855,36099,America/Puerto_Rico,Mayagüez,PR,zona urbana
20,00647,18.266762,-66.84855,4611,America/Puerto_Rico,Mayagüez,PR,zona urbana
21,00650,18.266762,-66.84855,13457,America/Puerto_Rico,Mayagüez,PR,zona urbana
22,00652,18.266762,-66.84855,4492,America/Puerto_Rico,Mayagüez,,
23,00653,18.266762,-66.84855,8665,America/Puerto_Rico,Mayagüez,PR,comunidad
24,00656,18.266762,-66.84855,17815,America/Puerto_Rico,Mayagüez,PR,comunidad
25,00659,18.266762,-66.84855,37203,America/Puerto_Rico,Mayagüez,PR,comunidad
26,00660,18.266762,-66.84855,15439,America/Puerto_Rico,Mayagüez,PR,zona urbana
27,00662,18.266762,-66.84855,40705,America/Puerto_Rico,Mayagüez,PR,zona urbana
28,00664,18.266762,-66.84855,14816,America/Puerto_Rico,Mayagüez,PR,zona urbana
29,00667,18.266762,-66.84855,23116,America/Puerto_Rico,Mayagüez,PR,zona urbana
30,00669,18.266762,-66.84855,27534,America/Puerto_Rico,Mayagüez,PR,zona urbana
31,00670,18.266762,-66.84855,8553,America/Puerto_Rico,Mayagüez,PR,zona urbana
32,00674,18.266762,-66.84855,39288,America/Puerto_Rico,Mayagüez,PR,zona urbana
33,00676,18.266762,-66.84855,36836,America/Puerto_Rico,Mayagüez,PR,comunidad
34,00677,18.266762,-66.84855,15432,America/Puerto_Rico,Mayagüez,PR,zona urbana
35,00678,18.266762,-66.84855,24848,America/Puerto_Rico,Mayagüez,PR,zona urbana
36,00680,18.266762,-66.84855,42817,America/Puerto_Rico,Mayagüez,PR,zona urbana
37,00682,18.266762,-66.84855,29939,America/Puerto_Rico,Mayagüez,PR,zona urbana
38,00683,18.266762,-66.84855,29431,America/Puerto_Rico,Mayagüez,PR,zona urbana
39,00685,18.266762,-66.84855,40323,America/Puerto_Rico,Mayagüez,PR,zona urbana
40,00687,18.266762,-66.84855,28534,America/Puerto_Rico,Mayagüez,PR,zona urbana
41,00688,18.266762,-66.84855,10985,America/Puerto_Rico,Mayagüez,PR,comunidad
42,00690,18.266762,-66.84855,6275,America/Puerto_Rico,Mayagüez,PR,comunidad
43,00692,18.266762,-66.84855,32717,America/Puerto_Rico,Mayagüez,PR,zona urbana
44,00693,18.266762,-66.84855,55725,America/Puerto_Rico,Mayagüez,PR,zona urbana
45,00694,18.266762,-66.84855,125,America/Puerto_Rico,Mayagüez,,
46,00698,18.266762,-66.84855,32945,America/Puerto_Rico,Mayagüez,PR,zona urbana
47,00703,18.156567,-66.1102,24642,America/Puerto_Rico,Ponce,PR,zona urbana
48,00704,18.156567,-66.1102,6433,America/Puerto_Rico,Ponce,PR,comunidad
49,00705,18.156567,-66.1102,24475,America/Puerto_Rico,Ponce,PR,zona urbana
50,00707,18.156567,-66.1102,10400,America/Puerto_Rico,Ponce,PR,comunidad
51,00714,18.156567,-66.1102,15573,America/Puerto_Rico,Ponce,PR,zona urbana
52,00715,18.156567,-66.1102,2003,America/Puerto_Rico,Ponce,PR,comunidad
53,00716,18.156567,-66.1102,27705,America/Puerto_Rico,Ponce,PR,zona urbana
54,00717,18.156567,-66.1102,14651,America/Puerto_Rico,Ponce,PR,zona urbana
55,00718,18.156567,-66.1102,23174,America/Puerto_Rico,Ponce,PR,comunidad
